ID,First Name,Gender,Start Date,Last Login Time,Salary,Bonus %,Senior Management,Team
76,Bonnie,Female,,1:27 AM,,5.118,TRUE,Human Resources
77,Margaret,Female,,12:42 PM,131604,7.353,TRUE,Distribution
78,Charles,Male,9/14/2004,8:13 PM,107391,1.26,TRUE,
79,Robin,Female,,3:15 PM,,,TRUE,Sales
80,Bonnie,Female,11/13/1988,3:30 PM,115814,4.99,FALSE,Product
81,Gerald,,3/17/1995,12:50 AM,,15.602,TRUE,
82,Christopher,Male,,10:52 AM,47369,,FALSE,Legal
83,Steven,Male,3/30/1980,9:20 PM,35095,8.379,TRUE,
84,Shawn,Male,,2:55 AM,,6.539,TRUE,
85,Doris,Female,8/20/2004,5:51 AM,,,TRUE,Finance
86,Jeremy,Male,,8:50 AM,100238,3.887,TRUE,
87,Annie,,9/29/2007,12:11 AM,,17.29,TRUE,Business Development
88,Annie,Female,,2:05 AM,144887,,TRUE,Sales
89,Donna,Female,11/27/1991,1:59 PM,64088,shuki,TRUE,
90,Janice,Female,,12:40 AM,,,FALSE,Legal
91,Janice,,8/21/1997,5:12 AM,91719,11.583,TRUE,411
92,James,,1/26/2005,11:00 PM,,8.309,FALSE,
93,Linda,Female,5/25/2000,5:45 PM,119009,12.506,TRUE,Business Development
94,Virginia,,,5:58 PM,111858,1.601,TRUE,Legal
95,Harry,Male,8/26/1981,3:16 PM,130620,2.11,FALSE,Legal
96,Heather,Female,,2:17 PM,,14.166,FALSE,Client Services
97,Cynthia,Female,3/21/1994,8:34 AM,142321,,TRUE,
98,Laura,,,9:23 PM,140371,10.62,TRUE,Marketing
99,Tina,Female,6/16/2016,7:47 PM,,16.961,TRUE,Marketing
100,Harold,Male,,9:40 PM,,,TRUE,
101,,Female,6/21/2005,6:33 AM,48109,14.995,TRUE,Finance
102,Aaron,Male,,10:20 AM,61602,,TRUE,Marketing
103,Jack,Male,,5:51 AM,,12.159,TRUE,
104,Phyllis,Female,,9:30 PM,136984,,TRUE,Finance
105,John,Male,12/23/1989,7:01 AM,80740,19.305,FALSE,Marketing
106,Kathy,Female,,4:33 AM,,8.567,TRUE,
107,Paul,Male,,7:25 PM,42146,,FALSE,Legal
108,Steven,Male,4/23/2013,10:12 PM,68680,16.565,FALSE,Legal
109,Russell,,,7:57 AM,133980,12.396,TRUE,Legal
110,Christopher,Male,4/22/2000,10:15 AM,,,FALSE,
111,Shirley,Female,6/20/2001,10:39 PM,147113,16.135,FALSE,Legal
112,Bonnie,Female,12/17/1999,3:12 PM,42153,aria,TRUE,Business Development
113,Willie,Male,11/27/2003,6:21 AM,64363,4.023,FALSE,
114,Tina,Female,,7:16 AM,,,TRUE,
115,Ashley,Female,,11:00 AM,58698,6.811,TRUE,Business Development
116,Pamela,Female,,6:51 AM,,4.166,FALSE,Product
117,,,6/22/1991,8:58 PM,76189,18.988,TRUE,Legal
118,Steven,Male,,3:03 PM,,,FALSE,Finance
119,Andrea,Female,,,120204,9.557,TRUE,
120,,Male,,,41054,12.299,FALSE,Marketing
121,Peter,Male,11/17/1994,6:15 PM,84885,,FALSE,Business Development
122,Kathleen,,,8:55 AM,,18.74,TRUE,
123,Christina,Female,,,110169,13.892,TRUE,Engineering
124,Helen,Female,11/29/2001,2:30 AM,73789,14.841,TRUE,Product
125,Marilyn,,11/16/1983,,76078,,TRUE,Product
126,Patricia,Female,,6:46 AM,,14.226,TRUE,
127,Michelle,Female,3/30/1984,6:43 PM,57325,17.179,TRUE,
128,William,Male,9/29/2002,,66521,,FALSE,Human Resources
129,Kenneth,,,9:16 PM,,16.439,FALSE,
130,Antonio,Male,10/25/1988,,60866,13.101,TRUE,Business Development
131,Shirley,Female,,1:15 PM,41334,6.219,TRUE,Human Resources
132,Rebecca,Female,,12:23 AM,,,FALSE,Product
133,Carlos,Male,,7:02 AM,146670,10.763,FALSE,
134,Lois,Female,12/25/1987,,106317,17.24,TRUE,Client Services
135,Carolyn,Female,,5:38 AM,,2.65,TRUE,
136,Gloria,Female,6/29/2007,,134148,,FALSE,Legal
137,Henry,Male,4/24/1995,,43542,19.687,FALSE,Legal
138,Adam,Male,5/21/2011,1:45 AM,95327,mila,FALSE,Distribution
139,Ashley,Female,,11:30 AM,112238,6.03,TRUE,Engineering
140,,Female,,1:08 AM,,,FALSE,
141,Shirley,Female,2/28/1981,,113850,1.854,FALSE,
142,,Male,12/24/1990,8:57 PM,110194,14.727,FALSE,Product
143,Elizabeth,Female,,5:53 PM,146129,,FALSE,Finance
144,Teresa,,1/28/2016,,,8.689,TRUE,Engineering
145,Nicole,,,2:28 PM,122717,ronen,FALSE,
146,Jennifer,Female,,10:47 PM,,,TRUE,Client Services
147,Patricia,Female,11/25/1992,2:24 AM,95322,4.15,FALSE,Product
148,Philip,Male,7/17/2008,1:30 PM,,3.996,FALSE,Legal
149,Patrick,,,2:24 AM,124488,,TRUE,Sales
150,,Female,8/17/2014,2:00 PM,86230,8.578,FALSE,Distribution
151,Sean,Male,,,,19.934,FALSE,Marketing
152,Brandon,,,8:17 PM,121333,15.295,FALSE,
153,Ruth,Female,8/19/1999,4:03 AM,129297,,TRUE,Client Services
154,Victor,,,8:40 PM,,10.489,FALSE,Finance
155,Rebecca,Female,11/15/1980,,85730,5.359,TRUE,
156,Marie,Female,,12:12 AM,,17.695,TRUE,Business Development
157,,Male,4/27/1992,1:10 AM,105062,1.563,FALSE,Human Resources
158,,Female,7/27/2005,,79536,,FALSE,Product
159,Norma,Female,2/28/1999,8:45 PM,114412,8.756,TRUE,
160,James,,,10:52 PM,68501,14.316,FALSE,Marketing
161,Kathy,Female,,7:26 PM,,16.991,TRUE,Finance
162,Marilyn,,8/22/1999,,103386,11.451,FALSE,
163,Arthur,Male,4/13/1998,11:28 AM,89786,,FALSE,Legal
164,Terry,Male,,9:15 PM,52226,19.135,FALSE,Client Services
165,Mary,Female,8/13/1999,1:03 AM,,18.197,FALSE,
166,,Female,,,59148,9.061,FALSE,Legal
167,,Female,,6:52 PM,42341,,FALSE,
168,Christopher,Male,12/24/2011,12:22 PM,142178,17.984,TRUE,Sales
169,Peter,,,,38989,7.017,TRUE,Marketing
170,Michelle,Female,,9:34 PM,53754,5.455,FALSE,
171,Irene,Female,1/29/1992,11:36 AM,,,FALSE,Sales
172,Patrick,Male,8/17/2007,,143499,17.495,TRUE,
173,,Female,,6:17 PM,97058,,FALSE,Finance
174,Lillian,Female,12/21/2008,6:51 PM,85446,,TRUE,Engineering
175,,,9/18/2007,6:59 PM,,6.185,FALSE,Client Services
176,Willie,Male,2/17/1998,,146651,15.48,TRUE,
177,Victor,Male,,1:02 PM,124486,10.166,FALSE,Product
178,Wayne,Male,,8:00 AM,102652,,TRUE,Distribution
179,Jane,Female,,2:01 AM,,17.648,FALSE,Product
180,Jessica,Female,10/23/1995,,68759,19.343,FALSE,
181,Mark,Male,,5:40 PM,57286,,TRUE,Business Development
182,Randy,Male,11/14/1999,,58129,1.952,TRUE,Distribution
183,Lillian,Female,6/19/1999,4:44 PM,,12.184,TRUE,
184,Ruth,,,5:56 AM,98233,2.518,FALSE,Distribution
185,,Male,12/18/2003,6:46 AM,140810,,TRUE,
186,Sandra,Female,1/19/1983,7:25 AM,42090,8.842,TRUE,Legal
187,,Female,,,,1.825,FALSE,Sales
188,Roger,Male,11/19/2004,3:55 PM,51430,,FALSE,
189,Charles,Male,10/14/2000,9:40 PM,71749,15.931,FALSE,
190,Clarence,Male,,3:16 AM,85700,1.215,FALSE,
191,Carol,2,3/19/1996,3:39 AM,,,FALSE,Finance
192,Lois,Female,10/18/2013,4:51 PM,36946,6.652,FALSE,Engineering
193,Barbara,,,,99326,16.475,FALSE,Legal
194,Rebecca,Female,2/18/1995,6:50 AM,109259,,TRUE,
195,Irene,Female,1/30/2004,8:25 PM,131038,,FALSE,
196,Ronald,Male,,2:19 PM,,12.757,TRUE,Product
197,Steven,Male,,,,19.127,FALSE,Client Services
198,Carolyn,8,,3:51 AM,,,FALSE,Client Services
199,Maria,,12/27/1990,,36067,9.64,TRUE,
200,Jonathan,Male,7/17/2009,8:15 AM,,16.736,TRUE,
201,Gary,Male,,12:04 AM,89661,,FALSE,Finance
202,Kimberly,,7/15/1997,5:57 AM,36643,,FALSE,
203,Roger,Male,,,,5.084,TRUE,Sales
204,Diana,Female,,7:53 AM,103521,tair,TRUE,Business Development
205,Willie,,,9:45 AM,55281,,FALSE,Marketing
206,,Male,3/27/2006,,115711,8.012,TRUE,324
207,Patricia,Female,,4:01 AM,,8.399,TRUE,Client Services
208,Katherine,,11/14/1999,,57531,1.767,FALSE,
209,Jonathan,Male,,2:59 AM,141069,,FALSE,Human Resources
210,Emily,Female,9/20/2007,11:25 AM,89434,11.295,FALSE,Engineering
211,Ruth,,,,44639,9.148,TRUE,Legal
212,Linda,Female,6/24/2006,12:04 PM,,,TRUE,Human Resources
213,Lisa,Female,,9:42 AM,115387,1.821,FALSE,
214,Evelyn,,5/24/1980,,81673,15.364,TRUE,Engineering
215,Julie,Female,7/23/1989,1:52 PM,,3.55,FALSE,741
216,Mary,Female,,11:41 PM,92544,,FALSE,Client Services
217,Matthew,,7/31/2013,,142373,2.462,FALSE,Marketing
218,Douglas,Male,,4:00 PM,,1.015,TRUE,
219,Gregory,,6/15/1992,5:08 AM,98865,10.628,TRUE,Finance
220,Billy,Male,3/13/1995,,120444,7.768,TRUE,Finance
221,,Female,,12:49 PM,71945,,FALSE,Marketing
222,Gregory,Male,1/29/2000,6:01 AM,109564,3.845,FALSE,
223,Jason,,10/17/1999,10:09 PM,,3.067,FALSE,Finance
224,Daniel,Male,,,106947,15.866,TRUE,Legal
225,Sarah,,9/14/1995,7:50 AM,,,FALSE,Distribution
226,Harry,Male,,,64579,15.266,FALSE,
227,Kathy,Female,4/19/1995,12:46 AM,50905,9.404,TRUE,Finance
228,Todd,Male,,10:31 AM,,,TRUE,Client Services
229,Bobby,Male,9/23/1994,,51685,17.445,FALSE,Engineering
230,Jeremy,Male,,12:15 AM,49542,1.679,TRUE,Distribution
231,George,,2/24/1988,11:29 AM,38375,,FALSE,
232,Diane,Female,4/18/1993,3:22 AM,64084,17.018,FALSE,Product
233,Marilyn,Female,,,,10.263,FALSE,Human Resources
234,Kathryn,,,1:47 PM,73935,14.752,FALSE,Sales
235,,Female,,,40837,12.182,TRUE,
236,Norma,Female,,11:44 PM,94393,,FALSE,Engineering
237,Laura,Female,,1:57 PM,42087,2.624,FALSE,Product
238,Cheryl,Female,9/23/2008,,,9.375,FALSE,Legal
239,Kevin,Male,3/25/1982,7:31 AM,35061,5.128,FALSE,
240,Lillian,,3/25/1983,3:43 PM,64164,17.612,FALSE,Human Resources
241,Phyllis,,,,94088,,FALSE,Distribution
242,Walter,Male,3/25/1985,11:54 PM,127813,5.961,FALSE,Finance
243,Robert,Male,,7:15 PM,,18.428,FALSE,Engineering
244,,Male,3/25/1987,,126310,5.413,TRUE,
245,Clarence,Male,,12:53 PM,142561,,FALSE,Client Services
246,Victor,Male,,7:44 AM,70817,17.138,FALSE,Engineering
247,Fred,,,2:03 PM,,12.045,FALSE,Human Resources
248,Brenda,,7/27/2010,11:07 PM,106115,3.742,TRUE,Product
249,Justin,Male,,5:58 PM,82782,,TRUE,
250,Betty,Female,,3:59 AM,104896,19.55,FALSE,Business Development
251,Randy,,,,133943,8.94,TRUE,Sales
252,Sharon,,,3:46 AM,,6.513,FALSE,
253,Ralph,Male,,1:35 AM,71896,,TRUE,Marketing
254,,,4/28/2003,,,10.391,FALSE,Sales
255,Edward,Male,5/27/1985,10:13 PM,110485,7.995,FALSE,Client Services
256,Denise,Female,3/20/2009,,115118,,FALSE,Human Resources
257,Debra,Female,,11:16 PM,48696,4.75,FALSE,
258,,Male,11/25/1999,6:16 AM,42676,15.517,FALSE,Sales
259,Michael,Male,1/24/2002,3:04 AM,43586,12.659,FALSE,
260,Henry,Male,,8:34 AM,89258,15.585,TRUE,Human Resources
261,Gloria,Female,3/27/2007,,90730,,FALSE,
262,Marie,Female,,,100308,,FALSE,Product
263,Anne,Female,7/16/1986,2:08 PM,69134,3.723,TRUE,Engineering
264,Sarah,,,1:08 PM,,,TRUE,
265,Stephanie,Female,3/24/1983,,50141,13.218,FALSE,Human Resources
266,Roy,Male,9/23/2004,1:31 PM,101941,3.45,FALSE,Client Services
267,,Female,,8:14 AM,115145,14.063,FALSE,
268,,Male,,,,16.044,FALSE,Distribution
269,Irene,Female,,8:26 AM,56526,,TRUE,Finance
270,,Female,,8:35 PM,145316,18.517,FALSE,Human Resources
271,Thomas,Male,,1:04 PM,103235,,FALSE,
272,Frank,,11/20/2001,10:18 AM,,12.062,TRUE,Marketing
273,Fred,Male,2/20/1980,,74129,18.225,FALSE,Product
274,Nicholas,Male,,8:21 PM,74669,,FALSE,766
275,Howard,Male,,7:22 AM,97490,5.46,TRUE,
276,Debra,Female,2/22/1994,10:25 PM,,18.456,TRUE,Business Development
277,Christine,Female,,,94345,,FALSE,Finance
278,Brenda,,5/29/1991,6:32 AM,82439,19.062,FALSE,921
279,Betty,Female,6/28/2005,6:03 PM,,,FALSE,
280,Ruby,Female,,,105946,1.139,FALSE,Business Development
281,Kevin,Male,,2:07 AM,46080,,FALSE,Business Development
282,Arthur,Male,,7:46 PM,,6.147,FALSE,
283,Carl,,,,125104,12.345,FALSE,Client Services
284,Todd,Male,,3:43 AM,107281,1.612,TRUE,Engineering
285,Brenda,Female,,9:33 PM,141521,4.337,FALSE,Client Services
286,Judy,Female,9/16/1997,12:10 AM,,,FALSE,
287,Todd,Male,,,69989,10.985,TRUE,Finance
288,,Female,,7:06 AM,147183,9.999,TRUE,Client Services
289,Walter,,12/21/1999,10:33 PM,66757,18.099,FALSE,Distribution
290,Jessica,Female,,,,,FALSE,Legal
291,,Male,6/14/1988,6:20 PM,129460,13.657,TRUE,
292,Tammy,Female,,10:30 AM,132839,17.463,TRUE,Client Services
293,Anne,Female,,,44537,18.284,TRUE,Client Services
294,,Male,10/25/1999,3:35 PM,118733,,FALSE,
295,Virginia,Female,10/20/1999,6:23 AM,,19.154,FALSE,Distribution
296,Jesse,Male,,,79582,3.873,FALSE,Legal
297,Jeremy,,,1:49 PM,55394,3.18,TRUE,Sales
298,Daniel,Male,9/15/2007,10:16 PM,123811,,TRUE,Human Resources
299,Patrick,,,11:43 AM,137314,4.542,TRUE,
300,Emily,Female,1/13/1988,,,19.028,TRUE,Human Resources
301,Alan,Male,6/26/1988,3:54 AM,,3.592,TRUE,Engineering
302,James,Male,,8:52 PM,72257,13.023,FALSE,Engineering
303,Adam,Male,,11:59 AM,,,TRUE,
304,Joan,,7/25/1980,,38712,3.657,TRUE,Client Services
305,Jeremy,Male,,12:05 AM,46930,18.702,TRUE,Finance
306,Margaret,Female,,1:05 PM,125220,,TRUE,Marketing
307,Mark,Male,,1:21 PM,121477,17.44,TRUE,Business Development
308,Marilyn,Female,9/26/1981,2:23 AM,86386,,FALSE,
309,Cheryl,Female,,10:16 AM,81308,2.196,TRUE,Legal
310,Benjamin,Male,,,84810,15.794,FALSE,Marketing
311,,Male,2/20/1990,11:00 PM,,,FALSE,Legal
312,Ernest,,,1:51 AM,72145,13.448,FALSE,Finance
313,Gerald,Male,4/16/2001,10:09 PM,121604,1.923,FALSE,Sales
314,Judy,Female,,,,13.457,TRUE,
315,Bobby,Male,3/31/1996,5:40 PM,112117,,FALSE,
316,Bobby,,,2:09 PM,108127,15.858,FALSE,Client Services
317,Marie,Female,,8:05 PM,123711,10.966,FALSE,Product
318,Kathy,Female,12/18/2013,,132381,,FALSE,
319,Roy,,,7:52 AM,148225,1.841,FALSE,Finance
320,Jacqueline,Female,11/25/1981,3:01 PM,,18.243,FALSE,Marketing
321,,Female,,11:40 PM,62960,14.356,FALSE,Sales
322,Julie,,3/23/1986,,56926,,FALSE,Sales
323,,Male,,6:42 PM,41428,14.372,FALSE,Product
324,Linda,Female,12/16/1990,2:20 AM,,3.041,TRUE,Sales
325,Ruby,,,,76707,6.031,FALSE,
326,Russell,Male,,1:48 AM,60388,17.885,FALSE,Client Services
327,Jeffrey,Male,6/18/1997,8:01 PM,45150,12.075,TRUE,Product
328,Aaron,Male,1/29/1994,6:48 PM,58755,5.097,TRUE,Marketing
329,Samuel,,,2:54 AM,,5.319,TRUE,Finance
330,,Male,1/27/2010,,87760,,TRUE,
331,Randy,Male,3/16/2014,6:24 PM,135119,7.887,FALSE,Client Services
332,Evelyn,,,1:58 PM,36759,17.269,TRUE,Marketing
333,Fred,Male,2/13/1987,,,18.645,TRUE,
334,Shirley,Female,,2:25 AM,110061,,FALSE,Client Services
335,Todd,,5/23/2011,4:14 PM,85074,1.844,FALSE,Client Services
336,Robert,Male,11/18/2014,5:00 AM,,19.93,FALSE,
337,Mark,Male,,,75150,12.182,TRUE,Legal
338,Earl,,,5:46 PM,91344,,TRUE,Sales
339,Richard,Male,,1:41 AM,,10.717,FALSE,Product
340,Michael,Male,11/22/1991,,98753,16.443,TRUE,
341,Steven,,,,113060,,TRUE,Sales
342,Carlos,Male,9/19/2007,1:01 AM,77327,11.58,TRUE,Finance
343,Marie,Female,,10:09 PM,62666,10.247,FALSE,Product
344,Ronald,Male,2/24/2009,2:09 PM,96633,4.99,TRUE,Engineering
345,Scott,,,4:36 AM,58248,,TRUE,
346,Steven,Male,11/21/2006,8:30 AM,83706,6.96,TRUE,Human Resources
347,James,Male,11/22/1998,,,5.778,TRUE,Human Resources
348,Lori,Female,3/31/1988,10:59 PM,,,TRUE,Sales
349,Philip,,,11:21 AM,129968,19.897,FALSE,
350,Phyllis,Female,11/24/2005,11:57 PM,140347,8.723,FALSE,Sales
351,,,8/31/1995,8:31 PM,,3.95,FALSE,Sales
352,Cynthia,Female,,11:03 PM,74287,,FALSE,Sales
353,,Male,,,69906,4.844,FALSE,
354,,Male,4/22/1997,9:36 PM,65078,3.095,FALSE,Marketing
355,Elizabeth,Female,,4:56 AM,,1.782,TRUE,Legal
356,Andrea,Female,9/14/2003,10:30 PM,115913,,FALSE,Legal
357,Judy,Female,,,38092,5.668,FALSE,Distribution
358,Russell,Male,8/13/2014,3:51 PM,121160,7.843,FALSE,
359,Scott,Male,12/17/2011,3:45 AM,,,FALSE,Product
360,Sarah,Female,,7:06 AM,64207,7.824,TRUE,
361,Susan,Female,9/25/2004,1:30 AM,80688,18.892,TRUE,
362,Margaret,Female,,6:01 AM,,,FALSE,Sales
363,,Male,,6:32 AM,72893,9.555,FALSE,
364,Justin,,4/15/2005,,96978,13.865,FALSE,Finance
365,Juan,Male,4/16/2002,11:09 PM,97364,3.595,FALSE,Product
366,Gloria,,,1:57 AM,140885,1.113,FALSE,Human Resources
367,Jennifer,,1/24/1989,8:38 PM,,16.231,TRUE,Client Services
368,Edward,Male,,,66067,10.957,TRUE,
369,Marilyn,Female,12/17/1982,12:10 PM,147183,8.748,FALSE,Business Development
370,Mary,Female,10/18/2009,6:32 PM,,12.484,FALSE,Product
371,Linda,Female,,10:12 PM,144001,2.194,FALSE,Business Development
372,Larry,,8/27/2003,,91133,,FALSE,Sales
373,Albert,Male,,4:20 PM,67827,19.717,TRUE,Engineering
374,Kenneth,Male,4/13/1999,10:28 PM,81839,12.072,FALSE,653
375,,Female,12/31/2006,11:02 PM,81444,,FALSE,
376,,,,,,4.805,TRUE,Sales
377,Brandon,Male,10/16/2015,2:44 AM,112548,4.664,FALSE,Engineering
378,Stephen,Male,,12:47 PM,111249,,TRUE,Human Resources
379,Russell,Male,10/30/1994,5:46 AM,114334,9.669,FALSE,Product
380,,Female,,,,4.537,FALSE,
381,Pamela,,7/15/2001,1:33 PM,72979,5.66,FALSE,Sales
382,Scott,Male,,1:50 AM,64172,10.894,TRUE,Engineering
383,,Female,4/18/1996,,107024,,TRUE,
384,Carlos,Male,7/28/2010,3:08 PM,50167,2.362,FALSE,Product
385,Jack,Male,12/24/1980,10:58 PM,,15.723,FALSE,Product
386,Debra,Female,,8:48 AM,70492,8.895,FALSE,Client Services
387,Phyllis,Female,1/15/1995,,,,FALSE,
388,Robert,Male,10/29/1994,4:26 AM,123294,19.894,FALSE,Client Services
389,Gloria,Female,9/19/1989,7:40 PM,131045,11.312,TRUE,Product
390,Sharon,,,,97635,,TRUE,
391,Barbara,,4/26/2001,12:22 AM,,13.443,TRUE,Sales
392,Marilyn,Female,8/15/1989,9:14 AM,140502,9.989,TRUE,Sales
393,Ralph,Male,10/27/2010,10:28 AM,106310,4.03,TRUE,Client Services
394,Harry,,,5:45 AM,46240,6.976,TRUE,Engineering
395,Robin,Female,,2:12 AM,111163,5.025,TRUE,
396,,Female,11/25/2001,9:55 PM,93753,7.094,TRUE,Sales
397,Rose,Female,,3:57 PM,63494,,TRUE,Human Resources
398,Clarence,Male,,,,13.835,TRUE,Distribution
399,Doris,Female,7/29/1992,6:40 PM,85215,7.425,TRUE,
400,Kathryn,Female,,9:29 AM,86439,7.799,FALSE,Finance
401,Billy,,3/16/2004,8:21 AM,62913,18.241,TRUE,Marketing
402,Norma,Female,4/16/1996,5:40 AM,38872,9.302,TRUE,
403,Richard,,11/28/1992,,,14.272,TRUE,Engineering
404,Craig,Male,,4:45 AM,113506,,TRUE,Marketing
405,Sarah,,7/20/1990,10:49 PM,109980,8.86,FALSE,
406,Sharon,Female,,4:39 PM,91522,7.564,FALSE,Finance
407,Mary,Female,8/22/2010,8:03 AM,42214,,TRUE,Business Development
408,,,2/23/2002,3:55 AM,83159,9.55,TRUE,
409,Joe,Male,,,,1.62,TRUE,Client Services
410,Jeremy,Male,5/29/1994,6:24 AM,47885,19.276,TRUE,Human Resources
411,,Male,8/14/2012,11:25 AM,126232,,TRUE,Sales
412,Kevin,Male,6/23/1981,8:26 PM,134598,11.699,FALSE,
413,Jacqueline,Female,,2:01 AM,66604,14.609,FALSE,Legal
414,Johnny,Male,9/14/1992,8:21 AM,,,TRUE,Marketing
415,Gary,Male,,,49101,11.9,TRUE,
416,Shirley,,11/16/1990,6:01 PM,67811,12.699,FALSE,Finance
417,,Male,6/29/2008,5:23 AM,,5.966,TRUE,Distribution
418,Sarah,,,2:51 PM,37748,9.047,FALSE,Human Resources
419,Julia,Female,,,,2.664,TRUE,
420,Dorothy,Female,,10:50 PM,140136,,TRUE,Business Development
421,Justin,Male,5/22/1986,6:30 AM,121508,19.334,TRUE,Finance
422,Kevin,Male,11/20/1986,6:59 PM,79906,18.021,TRUE,Sales
423,Victor,Male,,,123144,,TRUE,
424,Deborah,Female,11/25/1980,4:33 AM,,17.436,TRUE,Client Services
425,Matthew,,,7:35 AM,79443,,FALSE,
426,Alice,Female,,,51395,2.378,TRUE,Finance
427,Todd,,3/16/2016,2:45 PM,134408,3.56,TRUE,Human Resources
428,Frank,Male,,,,8.037,TRUE,Sales
429,,Male,5/13/1999,10:48 AM,68028,,TRUE,
430,Rose,Female,5/28/2015,8:40 AM,,5.63,FALSE,Human Resources
431,Andrea,Female,,,79123,19.422,FALSE,Distribution
432,Charles,Male,12/16/1999,8:28 PM,104014,,TRUE,Legal
433,Jessica,,,8:45 PM,121160,12.993,FALSE,Client Services
434,Wanda,Female,7/20/2008,1:44 PM,65362,7.132,TRUE,
